path	bytes	sha256	reason
artifacts/pose-atlas-rebuild/2026-08-25/24-view-real-status-agent-a/build_status.py	10008	38C3ED49425E56734C8FBB2D9A0D755683AA65664A443C14B2A90D9850EBD128	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/alpha-union-refine-main/refine_alpha_union.py	6193	527E81FAA02A3F58FEE42E8CACE3334BF93450CEE3FA0A061E875CF99EE08DF6	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/alternate-source-registration-feasibility-agent-b/build_registration_audit.py	11160	85DA9A5A70E669B2B5393F856E5CFB301391EB40E46ED3423855D1D2F3F486C1	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/angle-pass-geometry-masters-agent-c/build_angle_master_list.py	9290	288BB4585830C0F09776F1D045E55DA685644F5074093DDC2067ADA9440C080C	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/attempt5-single-run-orchestrator-yaw045-agent-b/orchestrate_attempt5.py	7356	B0D043A3A13141DF268B770F45FA0150B15BE5C5A8D9EFC01C078CBA66DBBA78	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/birefnet-d-drive-offline-smoke-agent-a/run_offline_smoke.py	2025	CB6AB2C6E43D56284BA6E77B1549C6CF22A3689291A00FC2F045DCE6198C7671	去背模型評估；bundle 自帶 silhouette，不需去背模型
artifacts/pose-atlas-rebuild/2026-08-25/birefnet-production-admission/audit_birefnet_admission.py	10643	6CE5F687A4C1B87B08DF99E43AA5407AF864D5699C2CCB4D759B80FC279997A2	去背模型評估；bundle 自帶 silhouette，不需去背模型
artifacts/pose-atlas-rebuild/2026-08-25/birefnet-production-admission/build_manifest_component_record_v2.py	5108	12A248B67B9D5FED16CC20662E8AF9E400D807F2403611812F985F3CC057B4D6	去背模型評估；bundle 自帶 silhouette，不需去背模型
artifacts/pose-atlas-rebuild/2026-08-25/birefnet-shim-subprocess-preflight-agent-a/validate_subprocess_shim.py	5021	4C5BE68D61EB0EA13AE64492BA0174F7BC4B3893898AEC789B08AFC0404E2F04	去背模型評估；bundle 自帶 silhouette，不需去背模型
artifacts/pose-atlas-rebuild/2026-08-25/body-clothing-decoupling-input-audit-agent-a/build_input_contract.py	16161	EFFD362D9BFB042C162A02080587AF2005F9362384ECEB39D58A9D1E92BF3FE6	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/candidate-status-registry-agent-c/build_candidate_status_registry.py	15334	F146DBC7B0E1276CC41AFC4A67C8B37885E734D3C6329FE00273E46013609D28	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/candidate-status-registry-agent-c/run_evidence.py	3417	8107609E591C3F0B1B629C73D0F381DEEA31E849ED1FE1AED3668928BF48E74B	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/candidate-status-registry-refresh-agent-c/build_registry_refresh.py	10795	C39A01A74CD25FFCCAAF4AC609E6C12F131EB29956B7970342A4517A3F73DDBE	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/candidate3-body-skin-readiness-agent-a/audit_body_skin.py	8590	06303C4F3DBB75FED331CEBB9B830E2DF2CC6B0C581C682B623C4EA7709C23F0	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/candidate3-body-skin-readiness-agent-a/inspect_mhr_surface.c	4680	FF8F418352456B595CDD63AC12D1D22C40A7F3F1E92F1DE3479D7207125A9843	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/candidate3-yaw-sign-audit-agent-a/audit_yaw_sign.py	7074	E64C52D7B98E78F080345F7B75696B2B7E5F18E770CAF43EC3438710523053B8	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/audit_green_edit_fidelity.py	9019	9AB190ED1950F717CAF6113B0A15CE00CFB4DC2D220D94D4A04E679039C667DC	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/audit_yaw030_wrong_ornament_separability.py	8872	D90792279870F48D7915DA98B310411006CB793D7243AC437E38452AB248EF42	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/checker_periodic_alpha_refine.py	9430	E098D6E3E9AE8CE92B3DE9049A633A3881DAD20E95C57B6FF14B354D8357C1C4	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/deterministic_raw_rgb_alpha_repair.py	8991	577E0FFCA9F59261B03DFE8B2E86D43024BE8FB5FBB9485CDE03D6ACFBE23FC0	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/independent_alpha_acceptance_audit.py	7292	F9A0BED233DA0E983870E1A98A455545199BF08CEE390ABED6CFB842B78289D7	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/make_yaw030_head_grid.py	829	1A4009634C472BCEE3EC600E2636AF5F8507F210EC0A1211A72CC51AA6D7C230	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/validate_deterministic_raw_rgb_v3.py	4082	66ED147EE9EE4E480DF11CA1FB2154B90BC1DDCFEC34E4DDB883EBB880DF4245	逐角度撈候選；24 視角改為從控制圖確定性產生
artifacts/pose-atlas-rebuild/2026-08-25/deterministic-two-source-lora-augmentation-preflight-main/build_deterministic_augmentation_dry_run.py	12711	04BF72433B8ABBE292664525A063F9A0D61D241208A9AFD8008F6A90C8255B0B	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/deterministic-two-source-lora-augmentation-preflight-main/validate_deterministic_augmentation_dry_run.py	6400	3F7DCC8A6FD4D9305356F753ABF5CAAC2EAB38D46EB90DE7B240FBD30E0CEBB8	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/distinct-source-12-admission-preflight-main/build_distinct_source_inventory.py	12442	A0123F59AD602C9738E641DD091873A5583851C1ABD62F9801679983BCE830B3	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/distinct-source-12-admission-preflight-main/test_validator_negative_cases.py	2038	40F457E6233FFF131761BEBFE40B2FF9F0279EACB85E86E15335C923ACAC195D	產線更換後無現行用途
artifacts/pose-atlas-rebuild/2026-08-25/flux-download-monitor-agent-a/monitor.ps1	3650	0CAC7AFF880842BD411ECA8D7003765E04747BAF5931C0A4185C15B92A43C11B	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/bind_technical_evidence_awaiting_direct_confirmation.py	9504	85CD8632B1BC619D1BEE3BACC2C0E7C30199E55F69E6ABC099349627215AA02C	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/build_v2_cache_adapter.py	3944	B13203CEAE2B3AE923F139BDF7F63F60594B5053DFE60F7874C49DDD73E6FD1E	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/build_v2_cache_bundle.py	2508	7D3F374BAA2FE7C79628B9F41AB3AC4D33C72FF704165BC2C0517A517BE6CDD2	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/formal_authority_cache_stage.py	7751	00A76D2EE3265325C64452F40F8ECC45ED83481992CB99E42E430F5ED208752C	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/orchestrate_formal_single_step.py	12629	3D9F6B389B059465A95E6F6A413C8A68FD816024FC31A64D9EB896CEB58986A7	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/test_formal_distinct_source_envelope_negative.py	6000	234B89B9C48AB6065975A2187009F8D6F2D706DD6791D9638846BE3CE989C774	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/validate_distinct_source_manifest.py	6717	FFF9EA724AEDF6B18E4F320DF5C189174B0936CBCCF4E78DC381EFA9550D0B63	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-formal-single-step-orchestrator-agent-a/validate_formal_distinct_source_envelope.py	12166	A14045485889AA846442B8BAD55581AAF539EC0A55139562B1EB4B79598DE5DE	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-fullres-s020-authority-art-gate-agent-b/build_review.py	7991	B1C03BAC381DC73E63257C7DC0F3173652217C5A807175B72E30955F7DC6398D	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-gpu-occupancy-audit-agent-a/collect_gpu_occupancy.ps1	3352	8BF8B844C98487F2990C708F6A6BA441D446FBA31ABCEE65E0B5CA1B15E12AE8	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-img2img-birefnet-staging-agent-a/make_fixtures.py	965	BF88F9220F6717BA656B7AE00543DFF60D04E4ECF0F1A6593249F995AAC6E247	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
artifacts/pose-atlas-rebuild/2026-08-25/flux-img2img-birefnet-staging-agent-a/run_selftest.py	1990	0D12CABD1DAD7ACAB836602A723B5B82226052E6E869F98261F78CCC422A6ECD	Flux／Qwen 系試驗；現行產線為 Chroma1-HD
